aircraft_type,mtow,mlw,mtow_group
A124,405060,330000,8
A19N,75500,62500,5
A20N,79000,66000,5
A21N,97000,77800,5
A306,163000,138000,6
A30B,165000,136000,6
A310,142000,123000,6
A318,59000,57500,4
A319,64000,62500,4
A320,68000,66000,4
A321,83000,77800,5
A332,242000,180000,7
A333,242000,185000,7
A337,227000,187000,7
A338,247000,186000,7
A339,251000,191000,7
A342,253500,181000,7
A343,276700,190000,7
A345,371950,240000,8
A346,367400,256000,8
A359,270000,175000,7
A35K,308000,233500,7
A388,575000,394000,9
A400,141000,123000,6
AN12,61000,58000,4
AN72,34500,33000,3
ASTR,10660,9390,1
AT43,16700,16400,2
AT44,16700,16400,2
AT45,18600,18300,2
AT46,18600,18300,2
AT72,21500,21350,2
AT73,21500,21350,2
AT75,22800,21850,2
AT76,22800,22350,2
B190,7770,7260,0
B37M,80290,66040,5
B38M,82190,69310,5
B39M,88310,74340,5
B461,38100,35150,3
B462,42180,3670,4
B703,151320,97520,6
B712,53520,45360,4
B720,106000,79500,5
B721,72500,62400,5
B722,78000,68100,5
B732,52390,46720,4
B733,63000,51700,4
B734,68000,54900,4
B735,60000,49900,4
B736,66000,54660,4
B737,70000,58060,5
B738,79000,65319,5
B739,85000,66360,5
B741,340200,265300,8
B742,377840,285700,8
B743,377840,260320,8
B744,396900,295742,8
B748,447700,346091,8
B752,116000,89900,5
B753,124000,101600,6
B762,142880,117930,6
B763,159000,136078,6
B764,204000,158758,7
B772,297560,213190,7
B773,299370,237683,7
B778,351530,266260,8
B779,351530,266260,8
B77L,347450,223168,8
B77W,351800,251290,8
B788,228000,172365,7
B789,254000,192777,7
B78X,254000,201849,7
BA11,39460,39460,3
BCS1,59000,50800,4
BCS3,65000,57610,4
BLCF,364230,295740,8
C130,70310,58970,5
C160,51000,47000,4
C17,265350,202720,7
C212,7700,8100,0
C25B,6290,7103,0
C25C,7761,7103,0
C30J,70310,58970,5
C525,4900,7103,0
C56X,9200,7103,1
C650,10430,7710,1
C680,14000,7103,2
C68A,13970,12510,2
C700,17917,7103,2
C750,16370,14420,2
CL30,17620,15310,2
CL35,18420,15490,2
CL60,21590,17240,2
CN35,16500,16500,2
CRJ1,21520,21320,2
CRJ2,21520,20280,2
CRJ7,33000,30390,3
CRJ9,36500,33345,3
CVLP,18960,18050,2
CVLT,26540,23590,3
D328,13990,14390,2
DC10,263080,197770,7
DC3,11430,11070,1
DC3S,11430,11070,1
DC6,48530,40010,4
DC87,152000,113390,6
DC91,41140,37060,4
DC93,48990,44910,4
DC95,54880,49900,4
DH8A,15650,15380,2
DH8B,16470,15650,2
DH8C,18640,19050,2
DH8D,28000,28010,3
DHC7,19960,19050,2
E120,11990,11700,1
E135,20200,18700,2
E145,22000,18700,2
E170,36000,32800,3
E190,48000,43000,4
E195,52290,45800,4
E290,56400,49050,4
E295,61500,54000,4
E35L,20000,18500,2
E45X,24100,20000,3
E50P,4800,4430,0
E545,16200,14750,2
E550,17400,15660,2
E55P,8150,7650,0
E75L,38790,34000,3
E75S,37500,34000,3
F100,46000,39950,4
F2TH,19230,17830,2
F900,22230,20180,2
FA10,8500,8000,1
FA20,13000,12390,1
FA50,18010,16200,2
FA7X,31750,28300,3
FA8X,33110,28300,3
G150,11840,9840,1
G280,17960,14830,2
GA5C,36110,29190,3
GA6C,42910,34840,4
GALX,16170,13610,2
GL5T,41960,35650,4
GL7T,48190,38920,4
GLEX,45130,35650,4
GLF2,28120,26540,3
GLF3,31620,26540,3
GLF4,33200,29940,3
GLF5,41050,34160,4
GLF6,45180,37870,4
H25A,11340,10000,1
H25B,12700,10590,1
H25C,14110,11340,2
HA4T,17920,15200,2
IL76,170000,152500,6
J328,15660,14390,2
JS41,10890,10120,1
K35R,146280,54080,6
L29B,20180,16330,2
LJ35,8300,6490,1
LJ40,9530,8710,1
LJ45,9750,8710,1
LJ55,8850,7710,1
LJ60,10320,8850,1
LJ70,9750,8710,1
LJ75,9750,8710,1
MD11,273300,185000,7
MD81,63500,58060,4
MD82,67810,58970,4
MD83,72570,63280,5
MD87,67810,58970,4
MD88,67810,58970,4
MD90,70760,62140,5
P3,61230,47120,4
PC24,8300,7665,1
R721,76660,64640,5
R722,89360,70080,5
RJ1H,46040,40140,4
RJ85,44000,38560,4
SB20,22800,21500,2
SBR1,9150,7940,1
SF34,12700,12340,1
SH33,10390,10250,1
SH36,12300,12020,1
SU95,45880,41000,4
WW24,10660,8620,1